repro_id,repro_path,config_label,config_us,rounds,speedup_vs_default,speedup_vs_best_compile_baseline,config_over_sol,best_3config_label,best_3config_us,best_3config_over_sol,round_count,rep_per_round,total_bytes
amax_argmax_sum_5dfabd070411,repros/canonical/amax_argmax_sum_5dfabd070411/repro.py,combo_looped,9.568000212311745,"[9.727999567985535, 9.759999811649323, 9.920000098645687, 9.568000212311745, 9.920000098645687]",0.9832775623488718,1.020066847311575,1.5989305353813092,combo_persistent,9.151999838650227,1.5294117555508553,5,500,33608
amax_argmax_sum_5dfabd070411,repros/canonical/amax_argmax_sum_5dfabd070411/repro.py,combo_persistent,9.151999838650227,"[9.151999838650227, 9.151999838650227, 9.279999881982803, 9.184000082314014, 9.216000325977802]",1.0279720379347066,1.0664335646545167,1.5294117555508553,combo_persistent,9.151999838650227,1.5294117555508553,5,500,33608
amax_argmax_sum_5dfabd070411,repros/canonical/amax_argmax_sum_5dfabd070411/repro.py,default,9.40799992531538,"[9.40799992531538, 9.600000455975533, 9.727999567985535, 9.503999724984169, 9.696000255644321]",1.0,1.0374149542015587,1.5721925191949102,combo_persistent,9.151999838650227,1.5294117555508553,5,500,33608
amax_sum_0561785713ab,repros/canonical/amax_sum_0561785713ab/repro.py,combo_looped,99.20000284910202,"[99.23200309276581, 99.20000284910202, 99.20000284910202, 99.23200309276581, 99.20000284910202]",1.371612793037072,1.2661289480659248,2.6956521915183846,combo_looped,99.20000284910202,2.6956521915183846,5,300,203424236
amax_sum_0561785713ab,repros/canonical/amax_sum_0561785713ab/repro.py,combo_persistent,125.791996717453,"[125.791996717453, 125.82400441169739, 125.85599720478058, 125.82400441169739, 125.82400441169739]",1.0816585834372414,0.9984736591596205,3.4182607045151427,combo_looped,99.20000284910202,2.6956521915183846,5,300,203424236
amax_sum_0561785713ab,repros/canonical/amax_sum_0561785713ab/repro.py,default,136.06399297714233,"[136.1279934644699, 136.06399297714233, 136.1279934644699, 136.09600067138672, 136.1279934644699]",1.0,0.9230950268861364,3.697391031465036,combo_looped,99.20000284910202,2.6956521915183846,5,300,203424236
amax_sum_0ee54b388f56,repros/canonical/amax_sum_0ee54b388f56/repro.py,combo_looped,9.056000038981438,"[9.151999838650227, 9.184000082314014, 9.184000082314014, 9.088000282645226, 9.056000038981438]",1.3074204688987008,1.0989399623974399,1.1141731751154471,combo_looped,9.056000038981438,1.1141731751154471,5,500,14751744
amax_sum_0ee54b388f56,repros/canonical/amax_sum_0ee54b388f56/repro.py,combo_persistent,11.42400037497282,"[11.552000418305397, 11.42400037497282, 11.648000217974186, 11.52000017464161, 11.744000017642975]",1.0364145158162192,0.8711484607538935,1.405511783957007,combo_looped,9.056000038981438,1.1141731751154471,5,500,14751744
amax_sum_0ee54b388f56,repros/canonical/amax_sum_0ee54b388f56/repro.py,default,11.839999817311764,"[11.96799986064434, 11.96799986064434, 12.000000104308128, 11.96799986064434, 11.839999817311764]",1.0,0.8405405824211446,1.456692815043792,combo_looped,9.056000038981438,1.1141731751154471,5,500,14751744
amax_sum_0f87f6568d0f,repros/canonical/amax_sum_0f87f6568d0f/repro.py,combo_looped,190.36799669265747,"[190.46400487422943, 190.36799669265747, 190.5599981546402, 190.49599766731262, 190.36799669265747]",1.5101698736162839,1.3069423375273377,2.907624611906249,combo_looped,190.36799669265747,2.907624611906249,5,300,404750924
