repro_id,best_compile_us,sol_us,gap_vs_sol,total_bytes_mb
pointwise_b7a851a9ac93,31.6,13.2,2.38,50.3
var_mean_mean_3480e8831bac,32.5,13.7,2.38,51.9
var_mean_mean_f6d34778b88d,32.5,13.7,2.38,51.9
var_mean_68f956ca0908,13.1,5.5,2.37,21.0
pointwise_08c0fb1a5e37,7.8,3.3,2.36,12.6
pointwise_0dbfa02ebb68,38.2,16.2,2.36,61.5
sum_sum_3c44d89daf3a,120.7,51.2,2.36,194.7
sum_sum_c775e4f2e227,24.2,10.2,2.36,38.9
mean_eccc5dff9f55,46.6,19.9,2.35,75.5
mean_mean_6cb471f41ecf,41.6,17.7,2.35,67.2
pointwise_9903e70019c2,11.2,4.8,2.35,18.1
sum_sum_145a8857ebf2,651.2,277.2,2.35,1053.3
pointwise_978fc4b401d5,7.7,3.3,2.34,12.6
sum_sum_sum_612b509be4a7,222.3,94.8,2.34,360.3
amax_sum_0ee54b388f56,9.1,3.9,2.33,14.8
amax_sum_211823fef3b3,9.1,3.9,2.33,14.8
amax_sum_sum_9e768dff4978,380.9,163.8,2.33,622.3
mean_e9b5d856a37d,46.0,19.9,2.32,75.5
pointwise_5d1974eef120,7.7,3.3,2.32,12.6
pointwise_869474330b72,7.7,3.3,2.32,12.6
var_mean_c07ce112a2ac,38.5,16.6,2.32,62.9
pointwise_e26de0a669ae,372.5,162.1,2.3,616.0
sum_mean_39228c93d6a4,77.6,33.8,2.3,128.5
sum_sum_sum_cad09d5cca79,434.0,190.5,2.28,724.0
sum_sum_sum_ffedd26b0c42,23.4,10.2,2.28,38.9
var_mean_550595226896,37.7,16.6,2.27,63.1
sum_sum_sum_758c2b3673ba,244.8,108.3,2.26,411.4
sum_sum_sum_a3f8e893e349,278.3,122.9,2.26,467.1
var_mean_89031f55973e,68.3,30.3,2.26,115.0
mean_ee17938d7aff,7.5,3.3,2.25,12.6
sum_sum_sum_37ed72cc58f3,242.8,108.3,2.24,411.4
mean_8b70c08405c1,7.4,3.3,2.23,12.6
pointwise_f48fe6a2319f,7.4,3.3,2.22,12.6
var_mean_mean_e2206aa32217,112.6,50.8,2.22,192.9
var_mean_c1b4aa89f4d6,59.5,27.0,2.21,102.5
mean_d967249a87fe,12.3,5.6,2.2,21.3
mean_mean_fbdbd1645f6a,58.3,26.5,2.2,100.8
var_mean_bdb10d34fe50,16.0,7.3,2.2,27.6
mean_var_e46ebb5a28fe,58.3,26.7,2.19,101.3
var_mean_var_mean_aabd7680d8e0,22.3,10.2,2.19,38.7
sum_sum_sum_5f0c557e2169,22.3,10.2,2.17,38.9
var_mean_4e03c7a2956d,95.1,43.9,2.17,166.9
pointwise_43877c71f0eb,8.1,3.7,2.16,14.2
sum_sum_e036cf2d1ccb,16.7,7.7,2.16,29.4
var_mean_55b78000aab0,7.2,3.3,2.16,12.6
var_mean_fa8932a4b21f,15.7,7.3,2.16,27.6
pointwise_f3fcc01a1b31,28.4,13.2,2.15,50.3
mean_d5150760404d,7.1,3.3,2.14,12.6
amax_sum_35490be2986b,88.2,41.4,2.13,157.4
sum_sum_sum_f48adec0ff36,272.3,127.9,2.13,486.0
var_mean_var_mean_var_mean_850dfa63ec81,85.8,40.6,2.12,154.2
sum_sum_sum_3cd8c07ebace,429.9,204.2,2.11,775.8
var_mean_d6e662ef37f6,14.0,6.6,2.11,25.2
mean_mean_fac851fa5f98,16.4,7.8,2.1,29.6
mean_a38f924d6248,17.9,8.6,2.08,32.8
sum_sum_sum_56ca14eaee84,166.0,80.0,2.08,303.8
sum_sum_sum_a190850c7f80,266.1,127.9,2.08,486.0
var_mean_034578d167c5,15.2,7.3,2.08,27.6
var_mean_var_mean_mean_b49a8ed53342,38.9,18.8,2.07,71.4
mean_1b78c675fe8a,13.7,6.6,2.06,25.2
pointwise_49473bb3f273,6.8,3.3,2.06,12.6
var_mean_var_mean_mean_e12f05530897,38.8,18.8,2.06,71.4
var_mean_58cdb69fc823,18.5,9.0,2.05,34.4
var_mean_6f5e73770101,105.5,51.3,2.05,195.1
mean_587989b55df0,13.9,6.8,2.04,26.0
var_mean_cf2474e318ae,106.4,52.5,2.02,199.7
sum_sum_d550f2d61c6c,325.5,162.3,2.01,616.6
sum_sum_sum_4d7a27f102ca,664.6,331.3,2.01,1258.9
sum_sum_d6a05dc5c646,211.9,106.0,2.0,402.7
mean_f362a8f86f2e,30.4,15.3,1.99,58.2
pointwise_a089fe99095f,13.2,6.6,1.99,25.2
pointwise_b0c74cbb35c4,25.2,12.7,1.99,48.2
sum_eb86a17deab9,13.2,6.6,1.99,25.2
var_mean_525fd66a1241,48.7,24.5,1.99,93.1
pointwise_a863783aadbf,13.1,6.6,1.97,25.2
var_mean_83a48287f334,320.6,162.7,1.97,618.2
var_mean_24db25e30504,9.8,5.0,1.96,19.0
pointwise_7fe0a1e563a5,19.3,9.9,1.95,37.7
pointwise_a324133c5873,8.1,4.1,1.95,15.7
sum_sum_09a845b95efe,17.2,8.8,1.95,33.6
sum_sum_sum_eb29178ac0d2,284.6,147.0,1.94,558.8
pointwise_5ae8759ec547,298.8,154.9,1.93,588.5
pointwise_3229f6e30711,76.5,39.8,1.92,151.4
pointwise_caf63484ca0a,9.5,5.0,1.92,18.9
sum_sum_2a2b5ec72fea,942.0,489.7,1.92,1860.7
pointwise_8389b1fec310,135.0,70.7,1.91,268.7
sum_sum_sum_cd459367a1c3,228.4,119.4,1.91,453.6
var_mean_4f2b9b838832,67.6,35.3,1.91,134.2
mean_345e85b88ce8,16.4,8.6,1.9,32.8
pointwise_7e1a654d52d5,9.1,4.8,1.9,18.1
pointwise_c3360ba4828a,199.4,104.9,1.9,398.7
sum_sum_sum_9d05c4d37c77,563.1,295.8,1.9,1123.9
var_mean_4f85d2df9fc7,7.8,4.1,1.89,15.8
var_mean_mean_2fedd7a79265,48.9,25.9,1.89,98.3
amax_sum_230cc68d5501,199.4,106.0,1.88,402.7
pointwise_5502d55ec49d,9.0,4.8,1.88,18.1
var_mean_2e61b19a52bc,7.8,4.1,1.88,15.7
var_mean_4a0c3a2ad6fb,46.0,24.5,1.88,93.1
sum_mean_be3cca3d51c6,63.1,33.8,1.87,128.5
var_mean_7af9076c19a1,19.0,10.2,1.87,38.8
pointwise_6a479e2e07d2,73.8,39.7,1.86,151.0
var_mean_0bb837cbf30a,61.5,33.1,1.86,125.8
var_mean_mean_60c37a09d40e,48.2,25.9,1.86,98.3
sum_mean_273a847a963c,62.4,33.8,1.85,128.5
var_mean_mean_c8322953c7ea,50.9,27.6,1.85,104.9
pointwise_dca18e3e98e9,8.1,4.4,1.84,16.8
var_mean_52ba5f6bf2a0,13.0,7.1,1.84,26.9
pointwise_10ac7858cbe9,9.1,5.0,1.83,18.9
pointwise_b55a3e33e658,8.9,4.9,1.83,18.4
pointwise_d89eb45ec337,61.4,33.6,1.83,127.8
var_mean_cad253ba584f,23.2,12.7,1.83,48.2
var_mean_e7e57aea37e1,8.1,4.4,1.83,16.8
amax_sum_any_64da678446f9,192.8,106.0,1.82,402.7
pointwise_aa194b04264a,79.8,43.9,1.82,166.9
pointwise_d011ea1daf34,9.1,5.0,1.82,18.9
pointwise_4f6d85385d17,85.0,47.0,1.81,178.7
sum_sum_sum_83ddb84cc830,192.4,106.1,1.81,403.2
var_mean_var_mean_ca75e017814e,84.9,47.0,1.81,178.7
sum_43bbf21a2e59,12.0,6.6,1.8,25.2
var_mean_9d062f8786e2,8.9,5.0,1.8,18.9
var_mean_var_mean_8c8eb33a711a,27.4,15.2,1.8,57.9
amax_sum_0f87f6568d0f,190.4,106.5,1.79,404.8
mean_var_mean_cf650837b7b1,15.3,8.5,1.79,32.4
pointwise_e5a8078b814d,415.5,232.3,1.79,882.7
sum_66b92a2b30bb,17.3,9.7,1.79,36.9
mean_var_mean_3c4ea6d8f342,15.2,8.5,1.78,32.4
mean_var_mean_c9089e261699,15.2,8.5,1.78,32.4
var_mean_092e6409d231,18.2,10.2,1.78,38.8
sum_13195092a57b,17.2,9.7,1.77,36.9
mean_b11cd183fe38,7.8,4.4,1.76,16.8
pointwise_3dfec9b36ffd,7.8,4.4,1.76,16.8
pointwise_ce864c7b68b3,9.0,5.1,1.76,19.4
var_mean_792162dbb8a3,71.4,40.7,1.76,154.5
var_mean_e8133a6f0de6,71.5,40.7,1.76,154.5
pointwise_438e6bf82c6e,16.2,9.3,1.75,35.3
pointwise_c83a7895e053,8.9,5.1,1.75,19.3
var_mean_549fdfa09721,17.4,9.9,1.75,37.8
var_mean_mean_935376ba22dc,26.8,15.3,1.75,58.2
pointwise_7be7ad674239,7.8,4.5,1.74,17.0
var_mean_3c8a0f3690b9,71.3,40.9,1.74,155.5
var_mean_eebe86d9365d,71.3,40.9,1.74,155.5
var_mean_var_mean_7eb8a9047c3e,188.2,108.2,1.74,411.0
amax_sum_any_e20fbe84102b,244.6,141.3,1.73,536.9
amax_sum_f5253e4f250e,382.8,220.8,1.73,838.9
pointwise_69250a3ef9ac,183.1,106.0,1.73,402.7
pointwise_e947949b6a0b,61.2,35.3,1.73,134.2
var_mean_d06ef4a692a2,34.5,19.9,1.73,75.5
var_mean_var_mean_0795d88a1e39,187.3,108.2,1.73,411.0
amax_sum_557afc9e24ea,258.0,150.1,1.72,570.4
amax_sum_any_5686b4ede363,364.2,211.9,1.72,805.3
pointwise_77f01240c31d,40.4,23.5,1.72,89.4
sum_9ba8ffa3e0fb,1146.5,666.4,1.72,2532.5
sum_sum_bc46e8b5be67,16.2,9.4,1.72,35.7
pointwise_ff13db5dc626,77.5,45.4,1.71,172.4
mean_53257b9cde07,31.9,18.8,1.7,71.4
pointwise_3698b0e606e1,11.3,6.6,1.7,25.2
var_mean_b7b154e2f8c6,8.4,5.0,1.7,18.9
mean_var_mean_9d590f58ecc9,14.3,8.5,1.68,32.4
pointwise_2dd5675274fb,69.1,41.1,1.68,156.3
pointwise_355c2d00df8b,22.2,13.2,1.68,50.3
pointwise_e5772e195244,11.2,6.7,1.68,25.3
var_mean_var_mean_var_mean_5d12643e9b78,100.2,59.8,1.68,227.3
mean_b1d8f8a4704b,25.5,15.3,1.67,58.2
pointwise_1b2baa94d41f,9.1,5.5,1.65,21.0
pointwise_106406131986,15.9,9.7,1.64,36.9
pointwise_7f55bac8afd0,1083.3,661.7,1.64,2514.3
mean_00c6f66d2b16,14.0,8.6,1.63,32.8
sum_sum_a3da3e05e5db,703.3,432.7,1.63,1644.2
sum_sum_067195d29ca4,274.3,169.3,1.62,643.3
pointwise_0a306c604828,74.5,46.6,1.6,177.2
pointwise_1f7516b9892a,370.2,232.3,1.59,882.8
pointwise_9d609b482adf,83.6,52.5,1.59,199.7
pointwise_e0eff9609cf0,20.2,12.7,1.59,48.2
sum_sum_ceb449ea29e4,457.6,287.5,1.59,1092.6
sum_sum_sum_04ab10ca59ee,460.7,290.6,1.59,1104.2
mean_42b19743bdd2,24.2,15.3,1.58,58.2
sum_sum_sum_508eb468b8d9,161.8,102.3,1.58,388.6
var_mean_7fd0d03bbf2d,7.8,5.0,1.58,18.9
var_mean_mean_6b0bb4b36636,24.3,15.3,1.58,58.2
var_mean_var_mean_de5c360021d3,48.1,30.4,1.58,115.6
sum_2821c003f795,17.3,11.0,1.57,42.0
sum_c836f36190be,251.9,160.6,1.57,610.3
pointwise_352e97c8de09,11.2,7.2,1.55,27.4
pointwise_8be04df3df80,78.7,50.7,1.55,192.7
var_mean_65e90900fd65,10.2,6.6,1.55,25.2
mean_var_d333e54cfcb6,61.1,39.7,1.54,151.0
pointwise_0cfac231e64e,17.2,11.2,1.54,42.5
var_mean_b31c33bdc684,40.8,26.5,1.54,100.7
var_mean_bf7164921ad8,40.9,26.5,1.54,100.7
pointwise_27183a793fcd,38.3,25.0,1.53,95.2
pointwise_f6d6f135f57e,50.8,33.1,1.53,125.8
pointwise_fce51fb12af0,7.8,5.1,1.53,19.3
var_mean_867f4204961b,15.6,10.2,1.53,38.9
mean_289ef979584b,23.5,15.5,1.52,59.0
mean_b440f707e405,20.1,13.2,1.52,50.3
sum_sum_e776df017e4a,246.8,162.3,1.52,616.6
var_mean_5e94b32b5fac,61.2,40.6,1.51,154.2
sum_sum_sum_8d668b8fcd9e,639.0,425.6,1.5,1617.2
