dir,shape_hash,triton_us,cutile_us,cutile_over_triton,triton_status,cutile_status,compile_us_triton,compile_us_cutile,triton_ratio,cutile_ratio
pointwise_04d85912d998,3047d934,5.89,5.89,1.0,AT_FLOOR,AT_FLOOR,5.89,5.73,1.0,0.973
pointwise_04d85912d998,30639013,5.54,5.82,1.0505415162454874,AT_FLOOR,AT_FLOOR,5.73,5.63,1.035,0.967
pointwise_04d85912d998,3070c8f9,7.68,7.52,0.9791666666666666,BAD_ORACLE,BAD_ORACLE,7.2,7.14,0.938,0.949
pointwise_04d85912d998,30dfc3d1,5.89,6.34,1.0764006791171477,AT_FLOOR,BAD_ORACLE,5.86,5.95,0.995,0.939
pointwise_04d85912d998,30e2d2d9,5.66,5.89,1.0406360424028267,AT_FLOOR,AT_FLOOR,5.79,5.76,1.023,0.978
pointwise_04d85912d998,3112ab1b,5.15,5.18,1.0058252427184464,AT_FLOOR,GOOD,5.15,5.54,1.0,1.068
pointwise_04d85912d998,31ad171a,5.6,5.82,1.0392857142857144,AT_FLOOR,AT_FLOOR,5.54,5.7,0.989,0.978
pointwise_04d85912d998,31c7a514,5.73,5.63,0.9825479930191972,AT_FLOOR,AT_FLOOR,5.7,5.63,0.994,1.0
pointwise_04d85912d998,3213bad8,5.66,5.86,1.0353356890459364,AT_FLOOR,AT_FLOOR,5.57,5.86,0.983,1.0
pointwise_04d85912d998,321d80cd,5.73,5.86,1.0226876090750436,AT_FLOOR,AT_FLOOR,5.86,5.7,1.022,0.973
pointwise_04d85912d998,3267e53f,5.41,5.6,1.0351201478743068,BAD_ORACLE,BAD_ORACLE,5.06,5.15,0.935,0.92
pointwise_04d85912d998,32a02f3d,5.76,5.73,0.9947916666666667,AT_FLOOR,AT_FLOOR,5.66,5.7,0.983,0.994
pointwise_04d85912d998,32d9d2bd,5.54,5.63,1.016245487364621,AT_FLOOR,AT_FLOOR,5.66,5.63,1.023,1.0
pointwise_04d85912d998,32da6b44,5.82,5.7,0.979381443298969,AT_FLOOR,AT_FLOOR,5.76,5.73,0.989,1.006
pointwise_04d85912d998,334738f5,5.79,5.7,0.9844559585492229,AT_FLOOR,AT_FLOOR,5.6,5.76,0.967,1.011
pointwise_04d85912d998,3483236d,5.86,5.89,1.0051194539249146,AT_FLOOR,AT_FLOOR,5.82,5.79,0.995,0.984
pointwise_04d85912d998,357101ae,5.7,5.47,0.9596491228070174,AT_FLOOR,AT_FLOOR,5.47,5.28,0.961,0.965
pointwise_04d85912d998,3582f9b3,5.57,5.76,1.0341113105924595,AT_FLOOR,AT_FLOOR,5.66,5.54,1.017,0.961
pointwise_04d85912d998,35d516d1,5.82,5.86,1.006872852233677,AT_FLOOR,AT_FLOOR,5.82,5.7,1.0,0.973
